Gene	fit_value	Predicted_Proximal_APA	Loci	A_1_long_exp	A_1_short_exp	A_1_PDUI	A_2_long_exp	A_2_short_exp	A_2_PDUI	A_3_long_exp	A_3_short_exp	A_3_PDUI	B_1_long_exp	B_1_short_exp	B_1_PDUI	B_2_long_exp	B_2_short_exp	B_2_PDUI	B_3_long_exp	B_3_short_exp	B_3_PDUI	Group_A_Mean_PDUI	Group_B_Mean_PDUI	PDUI_Group_diff	P_val	adjusted.P_val	Pass_Filter
ENSMUST00000123541.1|ENSMUSG00000005575.16|chr7|-	7902.8	13035704	chr7:13035588-13035905	123.18	0.00	1.00	140.88	0.00	1.00	194.65	0.00	1.00	127.33	0.00	1.00	149.05	0.00	1.00	180.13	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000120330.1|ENSMUSG00000080741.3|chr13|-	545.1	23620842	chr13:23620730-23621049	149.04	137.98	0.52	117.52	107.76	0.52	111.04	107.25	0.51	121.04	95.39	0.56	130.49	117.50	0.53	139.62	125.06	0.53	0.516666666667	0.54	-0.0233333333333	0.7157787145597221	1.0	N
ENSMUST00000182018.7|ENSMUSG00000026131.20|chr1|+	18329.0	34308081	chr1:34307330-34308404	233.87	43.71	0.84	188.85	71.06	0.73	214.01	88.92	0.71	190.62	66.51	0.74	183.33	42.23	0.81	166.68	72.33	0.70	0.76	0.75	0.01	0.8379466237414113	1.0	N
ENSMUST00000004156.9|ENSMUSG00000004054.9|chr19|+	202.8	5702624	chr19:5702007-5702865	52.79	17.98	0.75	120.26	0.00	1.00	35.41	13.25	0.73	88.60	0.00	1.00	82.55	4.51	0.95	105.82	6.13	0.95	0.826666666667	0.966666666667	-0.14	0.021448140836148284	0.376355090167	N
ENSMUST00000202170.3|ENSMUSG00000034021.15|chr5|+	482.0	150808014	chr5:150807813-150809865	96.89	0.00	1.00	102.90	0.00	1.00	82.92	0.00	1.00	84.44	0.00	1.00	89.47	0.00	1.00	79.80	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000108060.9|ENSMUSG00000028437.14|chr4|+	1233.6	41388882	chr4:41388681-41389766	132.00	0.00	1.00	130.65	0.00	1.00	117.60	0.00	1.00	111.54	0.00	1.00	122.80	0.00	1.00	110.62	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000138577.1|ENSMUSG00000058006.12|chr4|+	200.0	32752232	chr4:32752031-32753615	NA	NA	NA	2.60	31.42	0.08	2.15	29.78	0.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000109533.7|ENSMUSG00000027646.15|chr2|+	545.4	157469954	chr2:157469753-157471835	104.13	0.00	1.00	132.62	0.00	1.00	120.08	0.00	1.00	141.61	0.00	1.00	95.74	0.00	1.00	93.99	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000130835.7|ENSMUSG00000015869.16|chr11|-	488.7	116478439	chr11:116478292-116478640	8.33	29.08	0.22	NA	NA	NA	4.65	36.80	0.11	NA	NA	NA	NA	NA	NA	8.82	38.56	0.19	0.165	0.19	-0.025	1.0	1.0	N
ENSMUST00000112693.9|ENSMUSG00000036202.16|chr2|+	90.6	52121193	chr2:52120992-52122383	72.23	0.00	1.00	72.12	0.00	1.00	72.14	0.00	1.00	66.48	0.00	1.00	65.11	0.00	1.00	60.62	0.28	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000170394.1|ENSMUSG00000017376.15|chr11|-	70.3	78567532	chr11:78567414-78567742	40.04	0.00	1.00	50.73	0.00	1.00	39.85	0.11	1.00	32.80	1.19	0.97	37.37	6.29	0.86	41.10	0.00	1.00	1.0	0.943333333333	0.0566666666667	0.22312556458897884	1.0	N
ENSMUST00000045140.4|ENSMUSG00000036667.14|chr6|-	765.4	42673364	chr6:42671029-42673638	12.84	560.84	0.02	10.45	482.49	0.02	10.49	472.64	0.02	12.27	417.17	0.03	10.06	369.74	0.03	11.40	419.38	0.03	0.02	0.03	-0.01	0.6665957729143576	1.0	N
ENSMUST00000127133.1|ENSMUSG00000025413.13|chr4|-	3608.5	106668053	chr4:106667644-106668254	40.07	97.26	0.29	37.84	80.31	0.32	33.85	110.09	0.24	30.98	97.73	0.24	27.40	111.51	0.20	27.60	126.00	0.18	0.283333333333	0.206666666667	0.0766666666667	0.15480595267539568	1.0	N
ENSMUST00000143013.7|ENSMUSG00000037685.15|chr5|-	1852.1	67786465	chr5:67786281-67786666	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000020769.13|ENSMUSG00000020476.14|chr11|+	932.2	5800061	chr11:5799860-5800288	112.39	0.00	1.00	143.24	0.00	1.00	138.33	0.00	1.00	180.61	0.00	1.00	138.82	0.00	1.00	155.97	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000195092.1|ENSMUSG00000016494.9|chr1|+	33.3	194939152	chr1:194938951-194941229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000138543.1|ENSMUSG00000037855.15|chr10|-	2755.8	67897413	chr10:67896694-67897614	10.18	56.96	0.15	9.57	41.23	0.19	16.88	45.70	0.27	5.56	51.16	0.10	18.52	51.03	0.27	11.27	54.08	0.17	0.203333333333	0.18	0.0233333333333	0.8175377447330147	1.0	N
ENSMUST00000153849.1|ENSMUSG00000036186.5|chr2|+	7545.0	26632805	chr2:26632604-26633007	1.39	145.03	0.01	1.29	186.23	0.01	1.85	160.25	0.01	3.53	69.17	0.05	2.24	122.90	0.02	2.76	133.48	0.02	0.01	0.03	-0.02	0.5664259527504342	1.0	N
ENSMUST00000064187.11|ENSMUSG00000058756.13|chr11|+	100226.8	98768620	chr11:98768419-98769006	2133.25	0.00	1.00	1633.87	0.00	1.00	1761.73	0.00	1.00	1737.87	0.00	1.00	1835.41	0.00	1.00	1676.28	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000037499.5|ENSMUSG00000042670.5|chr2|+	3398.4	105965465	chr2:105965264-105965558	0.00	89.38	0.00	0.00	84.53	0.00	0.00	89.34	0.00	0.00	78.50	0.00	0.00	75.99	0.00	0.00	82.07	0.00	0.0	0.0	0.0	1.0	1.0	N
ENSMUST00000143182.1|ENSMUSG00000033808.16|chr2|-	136.7	120385690	chr2:120381304-120385891	4.82	45.00	0.10	3.84	54.16	0.07	3.86	47.30	0.08	5.24	44.48	0.11	4.88	31.32	0.13	3.21	58.50	0.05	0.0833333333333	0.0966666666667	-0.0133333333333	1.0	1.0	N
ENSMUST00000149210.1|ENSMUSG00000027288.16|chr2|-	1301.0	120526883	chr2:120526727-120527084	146.54	97.43	0.60	148.11	94.42	0.61	148.42	100.46	0.60	143.26	53.33	0.73	130.43	86.20	0.60	146.27	44.45	0.77	0.603333333333	0.7	-0.0966666666667	0.04662442558968728	0.667101243317	N
ENSMUST00000036274.7|ENSMUSG00000035227.7|chr7|-	2255.0	99838973	chr7:99837569-99839883	8.61	225.46	0.04	10.38	195.09	0.05	8.60	273.15	0.03	5.50	194.23	0.03	7.93	164.47	0.05	7.35	220.20	0.03	0.04	0.0366666666667	0.00333333333333	0.7947489945058896	1.0	N
ENSMUST00000156010.1|ENSMUSG00000052516.19|chr16|-	95.3	74352550	chr16:74349795-74352877	10.96	131.33	0.08	8.76	157.57	0.05	6.81	161.48	0.04	10.13	137.94	0.07	8.82	122.66	0.07	6.50	143.12	0.04	0.0566666666667	0.06	-0.00333333333333	1.0	1.0	N
ENSMUST00000156013.1|ENSMUSG00000038126.17|chr5|-	64.8	124315387	chr5:124315189-124315896	5.13	26.42	0.16	NA	NA	NA	4.09	29.67	0.12	NA	NA	NA	NA	NA	NA	7.63	22.72	0.25	0.14	0.25	-0.11	0.3226049625554782	1.0	N
ENSMUST00000156865.2|ENSMUSG00000064329.13|chr2|-	3200.0	66273503	chr2:66272892-66274062	53.04	38.58	0.58	67.76	21.12	0.76	68.72	22.46	0.75	62.46	24.30	0.72	50.85	23.39	0.68	61.20	42.80	0.59	0.696666666667	0.663333333333	0.0333333333333	0.6305839102269526	1.0	N
ENSMUST00000033975.7|ENSMUSG00000061313.8|chr8|-	600.7	25727162	chr8:25725346-25727363	34.06	62.38	0.35	25.85	46.51	0.36	31.86	53.81	0.37	30.05	28.97	0.51	29.92	36.95	0.45	31.10	44.69	0.41	0.36	0.456666666667	-0.0966666666667	0.2439122984475369	1.0	N
ENSMUST00000126608.1|ENSMUSG00000016319.3|chrX|+	166436.6	36797292	chrX:36796843-36797643	65.29	854.60	0.07	86.06	1157.35	0.07	131.51	1793.85	0.07	91.19	1242.33	0.07	123.02	1661.69	0.07	103.36	1502.59	0.06	0.07	0.0666666666667	0.00333333333333	0.8254662866688447	1.0	N
ENSMUST00000164095.2|ENSMUSG00000030451.16|chr7|+	9217.8	56231498	chr7:56230860-56231763	129.75	30.41	0.81	174.41	32.48	0.84	173.89	58.22	0.75	149.54	46.75	0.76	144.46	45.74	0.76	145.90	29.54	0.83	0.8	0.783333333333	0.0166666666667	0.801771354841026	1.0	N
ENSMUST00000219208.1|ENSMUSG00000037486.18|chr12|+	27.6	3496743	chr12:3496225-3497061	13.20	20.06	0.40	NA	NA	NA	11.39	19.96	0.36	NA	NA	NA	11.36	22.84	0.33	NA	NA	NA	0.38	0.33	0.05	0.7983866348953607	1.0	N
ENSMUST00000226440.1|ENSMUSG00000022296.9|chr15|+	25445.2	38951102	chr15:38949118-38952912	23.17	324.37	0.07	24.18	287.58	0.08	20.28	327.99	0.06	25.60	299.72	0.08	23.96	324.64	0.07	23.62	300.56	0.07	0.07	0.0733333333333	-0.00333333333333	0.7619077133075984	1.0	N
ENSMUST00000159741.1|ENSMUSG00000042453.14|chr5|-	190.7	22047851	chr5:22047524-22048052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000176149.8|ENSMUSG00000011832.16|chr8|+	370.1	4206697	chr8:4206496-4208051	88.24	0.00	1.00	88.88	0.00	1.00	109.37	0.00	1.00	76.10	0.00	1.00	78.95	0.00	1.00	62.41	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000159667.7|ENSMUSG00000032503.18|chr9|-	317.5	112155318	chr9:112154463-112155519	53.76	15.00	0.78	34.97	22.11	0.61	23.71	12.66	0.65	46.00	5.57	0.89	61.00	14.46	0.81	33.08	3.74	0.90	0.68	0.866666666667	-0.186666666667	0.05793535154254234	0.779262324197	N
ENSMUST00000219723.1|ENSMUSG00000044071.9|chr10|+	2821.3	123739105	chr10:123738904-123740947	128.18	0.00	1.00	139.00	0.00	1.00	129.54	0.00	1.00	129.54	0.00	1.00	128.94	0.00	1.00	139.03	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000226232.1|ENSMUSG00000022892.11|chr16|-	83823.2	84955231	chr16:84954644-84955432	1638.55	0.00	1.00	1066.19	0.00	1.00	1041.75	0.00	1.00	938.09	0.00	1.00	823.20	0.00	1.00	1128.83	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000164111.1|ENSMUSG00000034751.17|chr13|-	206.2	102853718	chr13:102852506-102853919	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.68	53.14	0.01	0.46	50.87	0.01	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000203140.1|ENSMUSG00000030235.17|chr6|+	128.5	141569773	chr6:141569306-141570113	11.75	44.43	0.21	13.31	46.07	0.22	11.02	41.02	0.21	19.45	40.91	0.32	10.09	48.52	0.17	19.66	37.76	0.34	0.213333333333	0.276666666667	-0.0633333333333	0.5192535254580556	1.0	N
ENSMUST00000196606.4|ENSMUSG00000041912.12|chr3|+	64.5	94430761	chr3:94430560-94431496	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000097864.8|ENSMUSG00000028580.15|chr4|+	478.6	130779973	chr4:130779772-130780266	119.42	0.00	1.00	153.65	0.00	1.00	182.36	0.00	1.00	133.95	0.00	1.00	125.22	0.00	1.00	161.74	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000224156.1|ENSMUSG00000021488.8|chr13|+	6084.1	55240743	chr13:55240542-55240846	1.31	55.47	0.02	0.63	68.57	0.01	1.28	55.86	0.02	0.14	116.86	0.00	2.50	257.48	0.01	1.72	57.94	0.03	0.0166666666667	0.0133333333333	0.00333333333333	0.5007173601147429	1.0	N
ENSMUST00000214217.1|ENSMUSG00000032178.14|chr9|+	126.8	21400653	chr9:21400452-21401792	49.68	0.00	1.00	45.81	0.00	1.00	34.03	0.00	1.00	42.61	0.00	1.00	35.68	0.00	1.00	59.66	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000194657.1|ENSMUSG00000026080.13|chr1|-	117.6	38871613	chr1:38870143-38871835	2.38	121.96	0.02	2.23	138.13	0.02	1.71	109.80	0.02	1.35	161.07	0.01	1.85	142.16	0.01	1.16	143.08	0.01	0.02	0.01	0.01	0.5935593496240572	1.0	N
ENSMUST00000238449.1|ENSMUSG00000001910.5|chr8|-	871.4	84677051	chr8:84676684-84677252	175.37	11.98	0.94	170.64	11.16	0.94	187.51	6.57	0.97	178.31	0.00	1.00	168.14	26.03	0.87	175.96	4.60	0.97	0.95	0.946666666667	0.00333333333333	0.8183838862061615	1.0	N
ENSMUST00000106215.10|ENSMUSG00000062825.15|chr11|-	634391.1	120346332	chr11:120345691-120346533	1112.84	0.00	1.00	1190.73	0.00	1.00	1392.13	0.00	1.00	1012.09	0.00	1.00	913.13	0.00	1.00	1192.50	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000108038.1|ENSMUSG00000036073.17|chr4|+	448.4	41758285	chr4:41758084-41758695	39.87	4.51	0.90	30.54	13.84	0.69	29.45	13.35	0.69	25.44	11.80	0.68	25.48	6.19	0.80	24.50	15.50	0.61	0.76	0.696666666667	0.0633333333333	0.6098865571963112	1.0	N
ENSMUST00000190549.6|ENSMUSG00000032036.15|chr9|+	275.3	35029975	chr9:35029774-35030878	3.25	30.54	0.10	2.90	40.48	0.07	1.82	36.92	0.05	2.07	29.06	0.07	0.93	42.30	0.02	NA	NA	NA	0.0733333333333	0.045	0.0283333333333	1.0	1.0	N
ENSMUST00000138468.7|ENSMUSG00000027598.16|chr2|+	559.5	155174135	chr2:155173934-155177147	3.75	119.72	0.03	3.32	111.61	0.03	4.24	145.78	0.03	3.12	124.46	0.02	3.86	112.14	0.03	3.50	141.62	0.02	0.03	0.0233333333333	0.00666666666667	1.0	1.0	N
ENSMUST00000190872.1|ENSMUSG00000023150.14|chr1|+	2456.8	151361663	chr1:151361462-151362034	9.40	168.94	0.05	8.04	141.94	0.05	7.23	148.85	0.05	7.58	169.41	0.04	7.69	147.85	0.05	5.49	141.39	0.04	0.05	0.0433333333333	0.00666666666667	0.7859192036965028	1.0	N
ENSMUST00000066582.11|ENSMUSG00000053877.12|chr7|+	21.7	127534976	chr7:127534775-127536376	4.86	30.01	0.14	2.90	33.52	0.08	4.81	33.57	0.13	NA	NA	NA	5.07	29.67	0.15	NA	NA	NA	0.116666666667	0.15	-0.0333333333333	0.7311635800928483	1.0	N
ENSMUST00000140480.1|ENSMUSG00000037270.18|chr3|+	132.1	37022585	chr3:37022384-37023854	NA	NA	NA	3.25	31.92	0.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000141934.1|ENSMUSG00000027642.15|chr2|+	4167.1	157321944	chr2:157321743-157322471	2.17	130.58	0.02	5.32	125.77	0.04	8.68	89.28	0.09	3.58	119.18	0.03	5.65	151.87	0.04	1.53	185.38	0.01	0.05	0.0266666666667	0.0233333333333	0.3021028965222886	1.0	N
ENSMUST00000223111.1|ENSMUSG00000073079.6|chr12|+	58199.0	55089371	chr12:55089170-55089538	32.31	386.59	0.08	21.55	302.72	0.07	22.14	360.92	0.06	22.50	270.32	0.08	27.18	268.12	0.09	16.80	326.21	0.05	0.07	0.0733333333333	-0.00333333333333	0.8797890016931129	1.0	N
ENSMUST00000023036.6|ENSMUSG00000022400.9|chr15|+	8120.9	81475287	chr15:81475086-81476369	214.00	0.00	1.00	235.65	0.00	1.00	216.97	0.00	1.00	222.05	0.00	1.00	242.55	0.00	1.00	205.18	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000147087.1|ENSMUSG00000005362.14|chr6|-	400.6	106790790	chr6:106788748-106790991	24.25	70.60	0.26	25.10	79.41	0.24	27.37	37.92	0.42	22.56	79.70	0.22	21.72	49.68	0.30	24.18	66.43	0.27	0.306666666667	0.263333333333	0.0433333333333	0.7329866036093962	1.0	N
ENSMUST00000089752.10|ENSMUSG00000053754.14|chr14|-	140.1	52198931	chr14:52198151-52199152	50.43	26.80	0.65	57.50	13.98	0.80	46.60	16.09	0.74	47.27	14.31	0.77	41.92	17.88	0.70	26.65	31.95	0.45	0.73	0.64	0.09	0.2552783614675639	1.0	N
ENSMUST00000161112.1|ENSMUSG00000026670.15|chr1|-	521.6	170166625	chr1:170166313-170166948	0.31	253.11	0.00	0.87	207.03	0.00	4.55	216.41	0.02	1.36	209.80	0.01	29.66	241.47	0.11	51.48	187.98	0.21	0.00666666666667	0.11	-0.103333333333	1.384583963584517e-07	1.25622488555e-05	N
ENSMUST00000103139.10|ENSMUSG00000058756.13|chr11|+	8661.4	98764479	chr11:98764278-98765111	91.51	207.97	0.31	80.37	161.76	0.33	73.66	197.16	0.27	70.75	151.33	0.32	82.80	166.00	0.33	84.97	174.74	0.33	0.303333333333	0.326666666667	-0.0233333333333	0.568137823026865	1.0	N
ENSMUST00000239479.1|ENSMUSG00000014195.16|chr11|-	105.2	100598215	chr11:100596786-100598728	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000133540.1|ENSMUSG00000034462.9|chr5|+	610.6	104499333	chr5:104498441-104501349	4.29	27.51	0.13	NA	NA	NA	2.88	34.91	0.08	NA	NA	NA	NA	NA	NA	2.74	27.80	0.09	0.105	0.09	0.015	1.0	1.0	N
ENSMUST00000134174.7|ENSMUSG00000028010.16|chr3|-	578.4	129825008	chr3:129824916-129825209	2.19	62.73	0.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	33.27	0.00	NA	NA	NA	0.03	0.0	0.03	0.5463917525773192	1.0	N
ENSMUST00000108975.8|ENSMUSG00000078875.10|chr2|+	2440.7	177010837	chr2:177010636-177010984	14.78	86.03	0.15	25.29	72.51	0.26	22.36	87.35	0.20	19.40	82.59	0.19	17.07	79.17	0.18	20.25	81.25	0.20	0.203333333333	0.19	0.0133333333333	0.8575002555386746	1.0	N
ENSMUST00000045807.13|ENSMUSG00000038335.13|chr11|+	2258.3	74909202	chr11:74908843-74909342	266.08	0.00	1.00	192.37	6.39	0.97	148.49	35.68	0.81	230.88	19.10	0.92	185.57	12.31	0.94	162.58	29.56	0.85	0.926666666667	0.903333333333	0.0233333333333	0.28783742664317985	1.0	N
ENSMUST00000150636.7|ENSMUSG00000023007.15|chr15|+	482.3	99316668	chr15:99316461-99316813	169.21	30.22	0.85	127.89	0.00	1.00	131.52	4.19	0.97	101.03	33.47	0.75	212.62	0.00	1.00	120.40	0.00	1.00	0.94	0.916666666667	0.0233333333333	1.0	1.0	N
ENSMUST00000101077.2|ENSMUSG00000072847.4|chr11|-	397.5	61865464	chr11:61864568-61866225	18.54	32.44	0.36	20.22	50.01	0.29	19.82	38.87	0.34	8.69	184.60	0.04	7.93	210.08	0.04	7.66	242.25	0.03	0.33	0.0366666666667	0.293333333333	6.711638763786514e-09	7.55622746662e-07	N
ENSMUST00000216545.1|ENSMUSG00000031993.7|chr9|+	534.4	30464487	chr9:30464286-30464673	106.47	0.00	1.00	113.28	0.00	1.00	96.76	0.00	1.00	94.14	0.00	1.00	116.67	0.00	1.00	111.78	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000126331.1|ENSMUSG00000079109.11|chr5|+	39.6	143926039	chr5:143925221-143926870	4.46	32.52	0.12	3.50	45.29	0.07	3.74	43.35	0.08	4.34	28.29	0.13	3.29	34.63	0.09	3.33	37.00	0.08	0.09	0.1	-0.01	1.0	1.0	N
ENSMUST00000225339.1|ENSMUSG00000024908.15|chr19|-	1801.5	3511840	chr19:3511495-3512041	4.64	80.28	0.05	9.27	56.63	0.14	5.52	65.50	0.08	7.33	71.61	0.09	5.55	59.44	0.09	13.06	74.37	0.15	0.09	0.11	-0.02	0.7806505295573762	1.0	N
ENSMUST00000207932.1|ENSMUSG00000039405.7|chr7|-	547.9	89509357	chr7:89509103-89510007	87.46	0.00	1.00	88.83	0.00	1.00	97.31	0.00	1.00	85.70	0.00	1.00	72.52	0.00	1.00	73.38	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000130834.7|ENSMUSG00000028347.14|chr4|+	7368.3	48662335	chr4:48662001-48662470	547.76	278.42	0.66	505.90	278.26	0.65	466.80	239.71	0.66	344.82	171.36	0.67	379.82	186.55	0.67	333.10	174.90	0.66	0.656666666667	0.666666666667	-0.01	0.7658068321424157	1.0	N
ENSMUST00000079020.11|ENSMUSG00000041771.14|chr12|+	150.8	102266592	chr12:102266345-102266749	47.96	29.72	0.62	47.77	44.22	0.52	51.33	76.95	0.40	44.77	48.05	0.48	46.63	41.51	0.53	58.19	22.49	0.72	0.513333333333	0.576666666667	-0.0633333333333	0.3757386557821587	1.0	N
ENSMUST00000133890.7|ENSMUSG00000026490.18|chr1|+	5076.2	180162369	chr1:180162035-180162588	145.67	137.41	0.51	156.17	84.58	0.65	169.72	86.42	0.66	226.60	69.83	0.76	253.89	54.95	0.82	235.94	65.69	0.78	0.606666666667	0.786666666667	-0.18	1.9831618035982263e-06	0.000149211159311	N
ENSMUST00000091197.3|ENSMUSG00000069049.11|chrY|+	798.7	1028389	chrY:1028188-1028594	157.27	0.00	1.00	203.57	0.00	1.00	162.61	0.00	1.00	337.80	0.00	1.00	353.21	0.00	1.00	357.12	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000227723.1|ENSMUSG00000022892.11|chr16|-	24353.7	84954443	chr16:84949685-84955432	18.90	1664.96	0.01	20.12	1119.06	0.02	17.51	1051.23	0.02	20.42	951.32	0.02	19.89	814.00	0.02	18.91	1130.70	0.02	0.0166666666667	0.02	-0.00333333333333	0.32016596811920983	1.0	N
ENSMUST00000219847.1|ENSMUSG00000034707.7|chr10|+	1037.5	121371345	chr10:121371144-121372250	1.73	44.01	0.04	2.33	39.49	0.06	3.17	32.94	0.09	2.02	47.58	0.04	3.47	30.08	0.10	1.99	37.13	0.05	0.0633333333333	0.0633333333333	0.0	1.0	1.0	N
ENSMUST00000154763.1|ENSMUSG00000024579.7|chr18|-	55.8	61703511	chr18:61702884-61703718	0.66	40.06	0.02	0.52	42.28	0.01	0.09	73.78	0.00	0.43	46.11	0.01	7.69	40.72	0.16	1.25	73.56	0.02	0.01	0.0633333333333	-0.0533333333333	0.244029075804776	1.0	N
ENSMUST00000185743.1|ENSMUSG00000026104.14|chr1|+	361.6	52137480	chr1:52137279-52137852	NA	NA	NA	0.00	45.94	0.00	0.26	40.10	0.01	6.06	65.92	0.08	0.00	39.34	0.00	0.22	48.95	0.00	0.005	0.0266666666667	-0.0216666666667	0.5002192982456122	1.0	N
ENSMUST00000125668.1|ENSMUSG00000025487.15|chr7|+	3479.4	140897668	chr7:140897417-140897840	20.61	39.87	0.34	37.71	28.99	0.57	22.73	59.33	0.28	36.80	38.87	0.49	25.88	25.59	0.50	34.24	41.24	0.45	0.396666666667	0.48	-0.0833333333333	0.3871475028240532	1.0	N
ENSMUST00000107693.8|ENSMUSG00000027993.16|chr3|-	9826.7	84163712	chr3:84161874-84165249	165.85	123.29	0.57	219.26	47.89	0.82	233.45	26.36	0.90	314.65	0.00	1.00	163.03	112.65	0.59	158.18	48.42	0.77	0.763333333333	0.786666666667	-0.0233333333333	0.2978109065829351	1.0	N
ENSMUST00000025836.5|ENSMUSG00000024902.5|chr19|+	358.5	4964944	chr19:4964674-4966999	22.00	157.30	0.12	16.70	117.59	0.12	18.29	150.31	0.11	18.49	145.87	0.11	18.39	131.90	0.12	16.51	150.26	0.10	0.116666666667	0.11	0.00666666666667	1.0	1.0	N
ENSMUST00000107539.7|ENSMUSG00000003119.14|chr11|+	529.0	98250334	chr11:98249710-98251564	61.17	25.74	0.70	56.98	43.15	0.57	66.58	25.72	0.72	81.28	115.94	0.41	54.77	68.01	0.45	61.19	148.03	0.29	0.663333333333	0.383333333333	0.28	6.116487689080498e-06	0.000417436752727	N
ENSMUST00000109727.8|ENSMUSG00000021144.14|chr12|+	73.6	113137013	chr12:113136518-113137205	46.46	19.97	0.70	39.18	0.00	1.00	49.57	4.24	0.92	42.23	11.17	0.79	47.70	0.00	1.00	32.83	18.59	0.64	0.873333333333	0.81	0.0633333333333	0.7917123528122607	1.0	N
ENSMUST00000182461.1|ENSMUSG00000071054.12|chr17|+	2650.6	56604347	chr17:56604146-56604543	17.60	69.90	0.20	12.41	75.30	0.14	14.35	64.43	0.18	15.81	89.59	0.15	11.02	73.20	0.13	13.48	82.31	0.14	0.173333333333	0.14	0.0333333333333	0.6763974917207568	1.0	N
ENSMUST00000033121.6|ENSMUSG00000030835.6|chr7|+	1457.8	46084018	chr7:46083603-46084212	117.61	311.06	0.27	88.96	228.97	0.28	90.16	192.05	0.32	90.33	228.99	0.28	94.25	232.01	0.29	110.30	225.03	0.33	0.29	0.3	-0.01	0.7339925640445614	1.0	N
ENSMUST00000182660.7|ENSMUSG00000040225.15|chr1|-	88.7	162671787	chr1:162670727-162673656	33.03	16.22	0.67	29.97	18.18	0.62	35.36	17.16	0.67	34.83	10.67	0.77	35.46	12.51	0.74	33.04	27.47	0.55	0.653333333333	0.686666666667	-0.0333333333333	0.8330153773413349	1.0	N
ENSMUST00000162461.6|ENSMUSG00000030166.14|chr6|+	604.9	119922673	chr6:119922472-119922823	22.83	85.92	0.21	34.65	92.15	0.27	14.66	93.80	0.14	6.48	93.30	0.06	14.10	80.07	0.15	11.86	86.00	0.12	0.206666666667	0.11	0.0966666666667	0.04023957384090237	0.597933706091	N
ENSMUST00000134882.7|ENSMUSG00000026933.17|chr2|-	556.6	25940112	chr2:25938540-25940313	91.50	0.00	1.00	82.58	0.00	1.00	89.35	0.00	1.00	79.91	0.00	1.00	105.75	0.00	1.00	103.34	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000162698.1|ENSMUSG00000089782.1|chr1|-	8062.0	97949123	chr1:97948901-97949389	4.57	124.94	0.04	3.44	140.96	0.02	3.76	132.02	0.03	3.01	125.95	0.02	2.10	121.16	0.02	3.24	111.21	0.03	0.03	0.0233333333333	0.00666666666667	1.0	1.0	N
ENSMUST00000108995.8|ENSMUSG00000089951.8|chr2|+	592.3	176435649	chr2:176435448-176435761	0.02	37.01	0.00	0.45	45.10	0.01	0.00	38.27	0.00	0.14	33.66	0.00	0.42	41.12	0.01	0.00	45.82	0.00	0.00333333333333	0.00333333333333	0.0	1.0	1.0	N
